,miRNA,log2control_median,log2treatment_median,log2fold_change,p_value,Q_value
8,hsa-let-7c_hsa-let-7c-5p,11.09972048,11.94783306,0.84811258,3.19413061957513e-12,1.23394309198323e-11
11,hsa-let-7e_hsa-let-7e-5p,6.466415405,5.4680593015,-0.9983561035,2.8791020426718e-09,8.73248305504587e-09
12,hsa-let-7f-1_hsa-let-7f-1-3p,4.889686823,6.1931812765,1.3034944535,0.00259148625251387,0.00470829433006233
14,hsa-let-7f-2_hsa-let-7f-2-3p,3.410308599,2.793172121,-0.617136478,0.000119619040342083,0.000250858216031683
17,hsa-let-7i_hsa-let-7i-3p,3.59158957,1.771870971,-1.819718599,2.32851312931405e-15,1.1999980886806e-14
18,hsa-let-7i_hsa-let-7i-5p,13.955646035,13.15429115,-0.801354885,1.15583665567991e-23,1.63150789474818e-22
22,hsa-mir-101-1_hsa-miR-101-3p,14.0740099,5.157282352,-8.916727548,3.17430962598003e-17,2.0803064870262e-16
23,hsa-mir-101-2_hsa-miR-101-3p,14.07404137,5.1683657165,-8.9056756535,7.00067929308122e-17,4.28208216760135e-16
25,hsa-mir-103a-1_hsa-miR-103a-3p,10.27758026,6.469864845,-3.807715415,7.68266206308407e-30,3.13281886350206e-28
26,hsa-mir-103a-2_hsa-miR-103a-3p,10.27607155,6.469864845,-3.806206705,7.65491224985483e-30,3.13281886350206e-28
28,hsa-mir-106a_hsa-miR-106a-5p,5.507080555,1.220494986,-4.286585569,7.25299356499219e-13,2.89331373733928e-12
29,hsa-mir-106b_hsa-miR-106b-3p,8.9220733645,3.4680844545,-5.45398891,7.78718700090333e-19,6.08063325389686e-18
30,hsa-mir-106b_hsa-miR-106b-5p,3.616384506,1.6156011225,-2.0007833835,1.58504047880437e-09,4.97187910872824e-09
31,hsa-mir-107_hsa-miR-107,9.0641999245,5.537194252,-3.5270056725,5.14814552179019e-18,3.63340270480192e-17
34,hsa-mir-10b_hsa-miR-10b-5p,7.679736614,6.961373091,-0.718363523,7.27555767606529e-06,1.71162158148459e-05
36,hsa-mir-1180_hsa-miR-1180-3p,5.259237051,7.515955448,2.256718397,6.80096311859029e-06,1.61029255775654e-05
37,hsa-mir-122_hsa-miR-122-5p,9.657949448,11.00939703,1.351447582,3.68106083625608e-15,1.77756490382366e-14
40,hsa-mir-125b-1_hsa-miR-125b-5p,5.883227825,5.148321152,-0.734906672999999,0.000239857017992325,0.000486339920459576
41,hsa-mir-125b-2_hsa-miR-125b-2-3p,2.4633497,1.4984060525,-0.9649436475,2.75952128161193e-06,6.66279151547091e-06
42,hsa-mir-125b-2_hsa-miR-125b-5p,5.879305363,5.148321152,-0.730984211,0.000201937761710139,0.000414028818701793
46,hsa-mir-1260b_hsa-miR-1260b,4.302546501,6.592774391,2.29022789,0.00385592572992781,0.00686953758681314
51,hsa-mir-128-1_hsa-miR-128-3p,8.5223255155,6.916530609,-1.6057949065,3.34986934859138e-26,7.23177677019433e-25
52,hsa-mir-128-2_hsa-miR-128-3p,8.41559124,6.817252159,-1.598339081,1.32969138262044e-27,3.48569098158358e-26
56,hsa-mir-1294_hsa-miR-1294,3.5537525415,4.9982595445,1.444507003,7.2556428542888e-10,2.35647869692388e-09
57,hsa-mir-1301_hsa-miR-1301-3p,5.629755974,5.000445366,-0.629310608,0.00269059881592002,0.00486428455883078
58,hsa-mir-1304_hsa-miR-1304-3p,4.618227482,4.010864258,-0.607363224,0.0123068265785503,0.0205300243378544
59,hsa-mir-1306_hsa-miR-1306-3p,4.211425304,4.833877802,0.622452498,0.00416762864353889,0.00726519610434419
61,hsa-mir-1307_hsa-miR-1307-3p,7.829177618,6.3613750935,-1.4678025245,1.32885607472339e-13,5.80583546932719e-13
64,hsa-mir-130b_hsa-miR-130b-3p,3.576237679,1.97456491,-1.601672769,3.23536073415443e-07,8.18880958230811e-07
65,hsa-mir-130b_hsa-miR-130b-5p,5.002444267,4.148553371,-0.853890896,1.5106145346737e-05,3.50883249509651e-05
70,hsa-mir-134_hsa-miR-134-5p,3.791232347,2.934989333,-0.856243014,0.000241212161495262,0.000486400347630556
71,hsa-mir-136_hsa-miR-136-3p,2.3904539345,1.6697547435,-0.720699191,0.00176188042177855,0.00326570765046832
73,hsa-mir-139_hsa-miR-139-5p,7.105813026,8.210778236,1.10496521,3.73278231824175e-05,8.50888888692374e-05
74,hsa-mir-140_hsa-miR-140-3p,12.25666666,3.558116436,-8.698550224,1.82121201715893e-29,6.68384810297327e-28
76,hsa-mir-141_hsa-miR-141-3p,2.711972833,1.880430937,-0.831541896,0.00202264065622919,0.00371154560418056
77,hsa-mir-142_hsa-miR-142-3p,6.639505863,5.367623806,-1.271882057,6.10883592579663e-12,2.28769671915037e-11
78,hsa-mir-142_hsa-miR-142-5p,11.73695183,6.863005638,-4.873946192,1.10256927010861e-23,1.61857168851944e-22
